image,class_id,confidence,best_iou,nonconformity
000000000257.jpg,0,0.7034425139427185,0.828176,0.296557
000000000257.jpg,7,0.6391980051994324,0.982341,0.360802
000000000257.jpg,0,0.6175237894058228,0.962885,0.382476
000000000257.jpg,0,0.5995340943336487,0.682296,0.400466
000000000257.jpg,0,0.5990270972251892,0.948436,0.400973
000000000257.jpg,24,0.5818272233009338,0.831504,0.418173
000000000257.jpg,0,0.5762032866477966,0.752993,0.423797
000000000257.jpg,0,0.5162765979766846,0.846232,0.483723
000000000257.jpg,0,0.5103480815887451,0.853402,0.489652
000000000257.jpg,7,0.4753522276878357,0.651211,0.524648
000000000257.jpg,0,0.3667762279510498,0.812598,0.633224
000000000257.jpg,0,0.3359321653842926,0.567326,0.664068
000000000257.jpg,0,0.33270615339279175,0.626964,0.667294
000000000257.jpg,0,0.2726600766181946,0.894553,0.72734
000000000368.jpg,32,0.7860825657844543,0.858934,0.213917
000000000368.jpg,0,0.6902000904083252,0.807404,0.3098
000000000368.jpg,0,0.6518009901046753,0.925509,0.348199
000000000368.jpg,0,0.622430682182312,0.826782,0.377569
000000000368.jpg,0,0.47409331798553467,0.903518,0.525907
000000000368.jpg,0,0.46877527236938477,0.949803,0.531225
000000000368.jpg,0,0.420662522315979,0.851911,0.579337
000000000368.jpg,0,0.3930872678756714,0.832898,0.606913
000000000612.jpg,77,0.6536575555801392,0.951894,0.346342
000000000612.jpg,77,0.5870937705039978,0.849044,0.412906
000000000612.jpg,77,0.5410099625587463,0.801631,0.45899
000000000612.jpg,77,0.485134482383728,0.544792,0.514866
000000000612.jpg,77,0.3525153696537018,0.894366,0.647485
000000000612.jpg,59,0.343021422624588,0.916574,0.656979
000000000149.jpg,33,0.5917659401893616,0.622782,0.408234
000000000149.jpg,33,0.4832601845264435,0.901238,0.51674
000000000149.jpg,33,0.4803435802459717,0.734094,0.519656
000000000149.jpg,0,0.35881930589675903,0.59036,0.641181
000000000149.jpg,0,0.2754198908805847,0.501897,0.72458
000000000384.jpg,74,0.5750774145126343,0.889232,0.424923
000000000384.jpg,57,0.5462125539779663,0.899699,0.453787
000000000384.jpg,73,0.26093560457229614,0.873385,0.739064
000000000531.jpg,0,0.8495144844055176,0.945057,0.150486
000000000531.jpg,0,0.8100410103797913,0.885767,0.189959
000000000531.jpg,0,0.6547876000404358,0.83515,0.345212
000000000531.jpg,0,0.5861590504646301,0.879075,0.413841
000000000531.jpg,0,0.5577504634857178,0.833095,0.44225
000000000531.jpg,0,0.483906090259552,0.736449,0.516094
000000000531.jpg,0,0.4640141427516937,0.78019,0.535986
000000000531.jpg,38,0.3104686141014099,0.791021,0.689531
000000000071.jpg,2,0.6921458840370178,0.892694,0.307854
000000000071.jpg,6,0.6676086783409119,0.974886,0.332391
000000000071.jpg,2,0.47779256105422974,0.916771,0.522207
000000000164.jpg,56,0.8504865169525146,0.968226,0.149513
000000000164.jpg,39,0.30132073163986206,0.781199,0.698679
000000000164.jpg,39,0.29355013370513916,0.794192,0.70645
000000000382.jpg,0,0.8493643999099731,0.853672,0.150636
000000000382.jpg,30,0.3409464359283447,0.708607,0.659054
000000000136.jpg,23,0.9306304454803467,0.929487,0.06937
000000000136.jpg,23,0.9222739338874817,0.931418,0.077726
000000000136.jpg,0,0.7577784061431885,0.93791,0.242222
000000000136.jpg,0,0.5416976809501648,0.533483,0.458302
000000000599.jpg,65,0.9403575658798218,0.924986,0.059642
000000000599.jpg,15,0.9096068143844604,0.852219,0.090393
000000000599.jpg,57,0.577014684677124,0.891391,0.422985
000000000599.jpg,58,0.5227396488189697,0.857355,0.47726
000000000599.jpg,65,0.2687077522277832,0.894698,0.731292
000000000143.jpg,14,0.9216253161430359,0.952504,0.078375
000000000143.jpg,14,0.725752055644989,0.55535,0.274248
000000000143.jpg,14,0.6554235816001892,0.843208,0.344576
000000000143.jpg,14,0.554181694984436,0.514015,0.445818
000000000143.jpg,14,0.5234806537628174,0.71194,0.476519
000000000446.jpg,0,0.8831961750984192,0.980849,0.116804
000000000446.jpg,58,0.6926596164703369,0.839633,0.30734
000000000446.jpg,58,0.4204922318458557,0.588189,0.579508
000000000491.jpg,77,0.6916925311088562,0.818603,0.308307
000000000042.jpg,16,0.32287371158599854,0.904397,0.677126
000000000629.jpg,3,0.9349843859672546,0.901691,0.065016
000000000192.jpg,0,0.905917763710022,0.956997,0.094082
000000000192.jpg,0,0.8921063542366028,0.957776,0.107894
000000000192.jpg,0,0.8765535950660706,0.93322,0.123446
000000000192.jpg,0,0.8548895716667175,0.977397,0.14511
000000000192.jpg,34,0.32374107837677,0.619282,0.676259
000000000086.jpg,0,0.8094325065612793,0.821512,0.190567
000000000086.jpg,3,0.4113371670246124,0.75749,0.588663
000000000395.jpg,0,0.8917481303215027,0.920598,0.108252
000000000395.jpg,0,0.866487979888916,0.966384,0.133512
000000000395.jpg,0,0.8162498474121094,0.893049,0.18375
000000000395.jpg,0,0.6657617092132568,0.948125,0.334238
000000000395.jpg,0,0.43173813819885254,0.59898,0.568262
000000000395.jpg,0,0.3931601345539093,0.776558,0.60684
000000000165.jpg,0,0.8668398857116699,0.962716,0.13316
000000000165.jpg,0,0.761590301990509,0.986396,0.23841
000000000165.jpg,27,0.5808682441711426,0.696818,0.419132
000000000471.jpg,5,0.9449129104614258,0.958117,0.055087
000000000061.jpg,0,0.5622884035110474,0.714776,0.437712
