model,confidence,correct
FP32,0.9276052713394165,1
FP32,0.7598304152488708,1
FP32,0.6416824460029602,1
FP32,0.4385586678981781,1
FP32,0.4148033857345581,0
FP32,0.2769424617290497,1
FP32,0.9012082815170288,1
FP32,0.3838338851928711,1
FP32,0.8921615481376648,1
FP32,0.27124401926994324,1
FP32,0.9339748620986938,1
FP32,0.8989837765693665,1
FP32,0.7268670201301575,1
FP32,0.46108803153038025,0
FP32,0.32287371158599854,1
FP32,0.8495423793792725,1
FP32,0.7653254270553589,1
FP32,0.5774561762809753,1
FP32,0.5726513862609863,1
FP32,0.5077676773071289,1
FP32,0.4432927668094635,1
FP32,0.35919615626335144,0
FP32,0.3355099558830261,0
FP32,0.3147563338279724,0
FP32,0.2655189335346222,1
FP32,0.5622884035110474,1
FP32,0.41162532567977905,0
FP32,0.7972220778465271,1
FP32,0.7506700158119202,1
FP32,0.6921458840370178,1
FP32,0.6676086783409119,1
FP32,0.6014634966850281,1
FP32,0.47779256105422974,1
FP32,0.7316804528236389,1
FP32,0.643467903137207,1
FP32,0.5672881603240967,1
FP32,0.8619804978370667,1
FP32,0.8981471061706543,1
FP32,0.8507429361343384,1
FP32,0.49401652812957764,0
FP32,0.35021689534187317,1
FP32,0.3045518398284912,1
FP32,0.28777146339416504,1
FP32,0.2874881327152252,1
FP32,0.8947358727455139,1
FP32,0.8435594439506531,1
FP32,0.6500626802444458,1
FP32,0.5968179702758789,1
FP32,0.46158427000045776,1
FP32,0.38964930176734924,0
FP32,0.25290119647979736,1
FP32,0.2521545886993408,0
FP32,0.8506759405136108,0
FP32,0.5140118598937988,1
FP32,0.5040778517723083,0
FP32,0.8954474329948425,1
FP32,0.8094325065612793,1
FP32,0.6998066902160645,0
FP32,0.4113371670246124,1
FP32,0.9520450830459595,1
FP32,0.8659612536430359,1
FP32,0.8150931000709534,1
FP32,0.7736513018608093,1
FP32,0.7622776031494141,1
FP32,0.6279125809669495,1
FP32,0.44538480043411255,1
FP32,0.3613477945327759,1
FP32,0.3126559555530548,1
FP32,0.28210049867630005,0
FP32,0.9262290000915527,1
FP32,0.8938922882080078,1
FP32,0.3535597622394562,0
FP32,0.8956061601638794,1
FP32,0.33564886450767517,1
FP32,0.7310022711753845,1
FP32,0.6410807967185974,1
FP32,0.347358375787735,0
FP32,0.2883950173854828,1
FP32,0.28586286306381226,1
FP32,0.26490625739097595,1
FP32,0.9125442504882812,1
FP32,0.8682323098182678,1
FP32,0.8636967539787292,1
FP32,0.8361241817474365,1
FP32,0.8091360330581665,1
FP32,0.5881776213645935,1
FP32,0.5251645445823669,0
FP32,0.49880078434944153,0
FP32,0.4483684003353119,1
FP32,0.4118127226829529,0
FP32,0.40190643072128296,1
FP32,0.40167945623397827,0
FP32,0.3990612328052521,1
